date,region,product_id,product_name,units_sold,unit_price,total_sales,salesperson
2025-01-01,South,3,Gamma Tool,14,50.0,700.0,Bob
2025-01-01,South,1,Alpha Widget,18,20.0,360.0,Alice
2025-01-01,South,3,Gamma Tool,4,50.0,200.0,Diana
2025-01-01,East,1,Alpha Widget,14,20.0,280.0,Diana
2025-01-01,North,3,Gamma Tool,15,50.0,750.0,Bob
2025-01-01,West,3,Gamma Tool,8,50.0,400.0,Alice
2025-01-01,North,3,Gamma Tool,16,50.0,800.0,Diana
2025-01-02,South,1,Alpha Widget,2,20.0,40.0,Charlie
2025-01-02,West,3,Gamma Tool,7,50.0,350.0,Bob
2025-01-02,North,3,Gamma Tool,11,50.0,550.0,Alice
2025-01-02,West,3,Gamma Tool,18,50.0,900.0,Charlie
2025-01-02,West,3,Gamma Tool,1,50.0,50.0,Charlie
2025-01-03,West,3,Gamma Tool,3,50.0,150.0,Charlie
2025-01-03,South,2,Beta Gadget,15,35.0,525.0,Charlie
2025-01-03,South,1,Alpha Widget,13,20.0,260.0,Bob
2025-01-03,South,1,Alpha Widget,3,20.0,60.0,Diana
2025-01-03,North,3,Gamma Tool,8,50.0,400.0,Alice
2025-01-03,West,2,Beta Gadget,17,35.0,595.0,Alice
2025-01-03,North,2,Beta Gadget,7,35.0,245.0,Charlie
2025-01-03,West,2,Beta Gadget,3,35.0,105.0,Alice
2025-01-04,South,3,Gamma Tool,12,50.0,600.0,Diana
2025-01-04,North,1,Alpha Widget,4,20.0,80.0,Diana
2025-01-04,East,1,Alpha Widget,1,20.0,20.0,Diana
2025-01-04,North,1,Alpha Widget,16,20.0,320.0,Charlie
2025-01-04,North,1,Alpha Widget,13,20.0,260.0,Alice
2025-01-05,East,1,Alpha Widget,9,20.0,180.0,Charlie
2025-01-05,South,2,Beta Gadget,7,35.0,245.0,Diana
2025-01-05,South,3,Gamma Tool,14,50.0,700.0,Alice
2025-01-05,West,3,Gamma Tool,17,50.0,850.0,Alice
2025-01-05,North,2,Beta Gadget,16,35.0,560.0,Bob
2025-01-05,West,1,Alpha Widget,1,20.0,20.0,Diana
2025-01-05,West,3,Gamma Tool,5,50.0,250.0,Diana
2025-01-05,South,2,Beta Gadget,1,35.0,35.0,Charlie
2025-01-05,South,2,Beta Gadget,16,35.0,560.0,Charlie
2025-01-06,North,1,Alpha Widget,11,20.0,220.0,Diana
2025-01-06,South,2,Beta Gadget,18,35.0,630.0,Alice
2025-01-06,East,3,Gamma Tool,18,50.0,900.0,Bob
2025-01-06,West,1,Alpha Widget,7,20.0,140.0,Bob
2025-01-06,South,2,Beta Gadget,2,35.0,70.0,Bob
2025-01-06,West,1,Alpha Widget,4,20.0,80.0,Diana
2025-01-06,South,1,Alpha Widget,9,20.0,180.0,Alice
2025-01-07,North,2,Beta Gadget,4,35.0,140.0,Alice
2025-01-07,East,2,Beta Gadget,19,35.0,665.0,Diana
2025-01-07,South,3,Gamma Tool,7,50.0,350.0,Bob
2025-01-07,South,2,Beta Gadget,3,35.0,105.0,Charlie
2025-01-07,West,2,Beta Gadget,18,35.0,630.0,Bob
2025-01-07,North,1,Alpha Widget,1,20.0,20.0,Diana
